"fecha";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.12.2019 23:00";"23.8";"753.2";"755.5";"0.6";"90";"Wind blowing from the north";"4";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"8.0";"22.0";"";"";"";"";"";"";
"30.12.2019 22:00";"24.0";"753.1";"755.3";"0.0";"93";"Wind blowing from the north";"2";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"10.0";"22.8";"";"";"";"";"";"";
"30.12.2019 21:00";"23.7";"752.5";"754.6";"-0.9";"93";"Wind blowing from the north-east";"3";"";"";"100%.";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"22.2";"26.3";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"10.0";"22.5";"17.0";"6";"";"";"";"";
"30.12.2019 20:00";"23.2";"752.6";"754.8";"-0.8";"95";"Wind blowing from the north-east";"2";"";"";"100%.";"Rain, not freezing, continuous, moderate at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"6.0";"22.3";"";"";"";"";"";"";
"30.12.2019 19:00";"23.4";"753.1";"755.2";"-1.0";"94";"Wind blowing from the east";"2";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"9.0";"22.4";"";"";"";"";"";"";
"30.12.2019 18:00";"23.4";"753.4";"755.6";"-2.1";"93";"Wind blowing from the east-northeast";"3";"";"";"100%.";"Rain, not freezing, continuous, moderate at time of observation. ";"Rain.";"Rain.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"6.0";"22.2";"";"";"";"";"";"";
"30.12.2019 17:00";"23.7";"753.4";"755.6";"-1.9";"93";"Wind blowing from the east";"2";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"8.0";"22.5";"";"";"";"";"";"";
"30.12.2019 16:00";"23.9";"754.1";"756.3";"-1.4";"92";"Wind blowing from the east";"2";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"50%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"8.0";"22.6";"";"";"";"";"";"";
"30.12.2019 15:00";"23.9";"755.5";"757.7";"-1.3";"91";"Calm, no wind";"0";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"20–30%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"8.0";"22.3";"32.0";"6";"";"";"";"";
"30.12.2019 14:00";"24.0";"755.3";"757.6";"-0.8";"91";"Wind blowing from the south-east";"1";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"50%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"8.0";"22.5";"";"";"";"";"";"";
